iter	RMSE
0	12415.84666
1	7925.774555
2	6207.09566
3	5582.921123
4	5361.9304
5	5278.394815
6	5233.800292
7	5197.284371
8	5180.938614
9	5138.59322
10	5115.199768
11	5098.186602
12	5087.988099
13	5077.714388
14	5069.500884
15	5056.169168
16	5046.284386
17	5024.508179
18	5015.786577
19	5001.981721
20	4994.802603
21	4991.076749
22	4985.586864
23	4977.135352
24	4971.426127
25	4957.986615
26	4948.648547
27	4926.535963
28	4915.598385
29	4912.054284
30	4909.671703
31	4904.406714
32	4889.10452
33	4873.588446
34	4857.913951
35	4852.209482
36	4845.539466
37	4840.180398
38	4835.979618
39	4828.650618
40	4820.037958
41	4810.827499
42	4800.752642
43	4798.060379
44	4795.043584
45	4787.430318
46	4778.771097
47	4765.959265
48	4758.7828
49	4749.279512
50	4742.072741
51	4736.50909
52	4733.066906
53	4729.74589
54	4724.762589
55	4717.477021
56	4713.821183
57	4707.918912
58	4700.438386
59	4693.331133
60	4685.697984
61	4683.880866
62	4676.283555
63	4671.670754
64	4668.962239
65	4667.293597
66	4664.399998
67	4653.430325
68	4649.557381
69	4643.277127
70	4635.582732
71	4632.017296
72	4627.406858
73	4622.158183
74	4613.554856
75	4611.819221
76	4606.528471
77	4602.352363
78	4597.371545
79	4594.527969
80	4592.813135
81	4588.381334
82	4586.668596
83	4583.68187
84	4580.271458
85	4574.946515
86	4573.641387
87	4568.074346
88	4561.19609
89	4559.078095
90	4555.420392
91	4551.428625
92	4549.603774
93	4545.269848
94	4544.099401
95	4538.230844
96	4536.913419
97	4530.158381
98	4527.163053
99	4525.841822
100	4522.788067
101	4520.573223
102	4518.961313
103	4515.953891
104	4514.770962
105	4511.045535
106	4509.164933
107	4506.912699
108	4504.936597
109	4501.644881
110	4499.825679
111	4498.311792
112	4494.979076
113	4493.298791
114	4485.081042
115	4483.047048
116	4476.821722
117	4471.343833
118	4465.56614
119	4461.53469
120	4459.138236
121	4455.733222
122	4450.317274
123	4443.039305
124	4440.759686
125	4437.3249
126	4436.119955
127	4430.964971
128	4426.580981
129	4421.121911
130	4417.687519
131	4416.060418
132	4410.088325
133	4405.36788
134	4403.345091
135	4398.720119
136	4394.973413
137	4392.175245
138	4390.64456
139	4389.03049
140	4386.919012
141	4384.725063
142	4382.525507
143	4381.57066
144	4379.839
145	4376.286969
146	4374.479622
147	4367.76965
148	4365.580243
149	4364.586604
150	4360.959191
151	4359.356575
152	4356.624457
153	4352.143428
154	4350.134867
155	4346.28469
156	4345.323774
157	4341.851991
158	4339.038751
159	4334.60237
160	4332.330088
161	4328.446
162	4326.868435
163	4326.021032
164	4323.53086
165	4322.174439
166	4316.426868
167	4314.272375
168	4311.813498
169	4307.558474
170	4306.244104
171	4305.18315
172	4303.323803
173	4302.507483
174	4299.655772
175	4293.824944
176	4293.027659
177	4291.674767
178	4290.389353
179	4289.288098
180	4287.489518
181	4286.308054
182	4282.204322
183	4281.390943
184	4280.231563
185	4275.152141
186	4273.439084
187	4270.373315
188	4268.206333
189	4265.965345
190	4265.267241
191	4260.103782
192	4256.868524
193	4255.120803
194	4250.200865
195	4248.190972
196	4247.727383
197	4244.904619
198	4243.534774
199	4241.386119
200	4240.321003
201	4238.654735
202	4236.066791
203	4234.966038
204	4233.109161
205	4228.113397
206	4225.829595
207	4222.791212
208	4219.267369
209	4217.545547
210	4216.779203
211	4216.027084
212	4215.824614
213	4213.851663
214	4211.960613
215	4208.670029
216	4204.55209
217	4202.167176
218	4201.57842
219	4200.4033
220	4199.694237
221	4197.65107
222	4197.008332
223	4194.962423
224	4192.928636
225	4190.709397
226	4189.412484
227	4187.811007
228	4187.142897
229	4185.928632
230	4184.587914
231	4183.500241
232	4181.223429
233	4178.403442
234	4175.975801
235	4174.357344
236	4173.385087
237	4171.8447
238	4169.193754
239	4168.938555
240	4166.850409
241	4165.364435
242	4162.838081
243	4161.114324
244	4160.003773
245	4158.442087
246	4156.927583
247	4156.207393
248	4154.163019
249	4153.06946
250	4152.287633
251	4151.351145
252	4150.536171
253	4149.696516
254	4148.617065
255	4147.776787
256	4147.011677
257	4146.509486
258	4144.108056
259	4141.134242
260	4139.365034
261	4137.33319
262	4135.274991
263	4133.702806
264	4132.658418
265	4132.134384
266	4131.021103
267	4130.613521
268	4129.834665
269	4128.440511
270	4125.632291
271	4121.578967
272	4117.305839
273	4114.371524
274	4113.552957
275	4111.776788
276	4110.215973
277	4108.431774
278	4107.296568
279	4104.075696
280	4101.722976
281	4098.807376
282	4097.708583
283	4095.642803
284	4094.232089
285	4093.170546
286	4091.223071
287	4090.040926
288	4089.39732
289	4088.567304
290	4087.640229
291	4086.797974
292	4085.902258
293	4085.545787
294	4084.317369
295	4083.883524
296	4080.215267
297	4077.227957
298	4074.754943
299	4073.230687
300	4072.68369
301	4071.343722
302	4070.771261
303	4070.338309
304	4067.257726
305	4065.799537
306	4065.320116
307	4061.109945
308	4060.526083
309	4059.841527
310	4058.037725
311	4056.993441
312	4054.49009
313	4053.636764
314	4051.886911
315	4049.465336
316	4044.229019
317	4043.092839
318	4041.964856
319	4040.850539
320	4039.672033
321	4035.953467
322	4033.246711
323	4032.049955
324	4031.185338
325	4029.29996
326	4027.505217
327	4023.834637
328	4021.05618
329	4020.100743
330	4018.544651
331	4017.312628
332	4016.155139
333	4015.610161
334	4013.75345
335	4012.352285
336	4011.114006
337	4009.773422
338	4007.473711
339	4007.235721
340	4005.938768
341	4003.924964
342	4003.045028
