iter	Passed	Remaining
0	13	13749
1	28	14301
2	42	13986
3	58	14507
4	73	14688
5	89	14771
6	104	14819
7	119	14814
8	134	14770
9	149	14762
10	163	14668
11	178	14663
12	192	14586
13	206	14558
14	221	14539
15	236	14527
16	250	14499
17	265	14472
18	280	14463
19	294	14444
20	310	14465
21	324	14423
22	339	14414
23	355	14457
24	370	14440
25	385	14458
26	401	14468
27	417	14504
28	433	14504
29	448	14488
30	463	14486
31	475	14378
32	488	14307
33	503	14301
34	518	14295
35	533	14281
36	548	14288
37	563	14267
38	580	14295
39	595	14299
40	610	14278
41	625	14272
42	641	14286
43	658	14305
44	671	14260
45	687	14249
46	702	14253
47	719	14268
48	734	14264
49	750	14253
50	765	14247
51	780	14235
52	795	14205
53	809	14174
54	822	14139
55	838	14128
56	852	14102
57	867	14094
58	880	14048
59	890	13958
60	899	13849
61	908	13737
62	920	13683
63	935	13674
64	949	13661
65	965	13661
66	978	13624
67	993	13610
68	1007	13594
69	1022	13587
70	1038	13585
71	1053	13580
72	1068	13571
73	1083	13556
74	1099	13558
75	1114	13548
76	1130	13552
77	1145	13541
78	1160	13534
79	1175	13520
80	1191	13513
81	1206	13504
82	1221	13493
83	1236	13486
84	1252	13478
85	1267	13470
86	1282	13459
87	1297	13443
88	1311	13427
89	1326	13408
90	1341	13397
91	1357	13393
92	1371	13379
93	1386	13360
94	1402	13356
95	1417	13347
96	1432	13336
97	1449	13338
98	1464	13327
99	1479	13314
100	1494	13302
101	1509	13289
102	1524	13276
103	1539	13260
104	1554	13250
105	1570	13246
106	1585	13233
107	1599	13212
108	1613	13191
109	1629	13180
110	1643	13166
111	1658	13151
112	1672	13127
113	1688	13126
114	1704	13120
115	1719	13105
116	1733	13082
117	1749	13077
118	1763	13058
119	1778	13040
120	1792	13023
121	1807	13009
122	1823	13001
123	1838	12988
124	1854	12978
125	1869	12965
126	1883	12950
127	1899	12940
128	1914	12927
129	1931	12923
130	1946	12910
131	1961	12896
132	1977	12889
133	1992	12875
134	2007	12863
135	2023	12854
136	2039	12848
137	2053	12829
138	2070	12824
139	2084	12802
140	2099	12788
141	2114	12776
142	2130	12766
143	2144	12748
144	2159	12733
145	2175	12722
146	2189	12705
147	2205	12697
148	2220	12683
149	2235	12666
150	2250	12653
151	2264	12634
152	2279	12621
153	2295	12610
154	2310	12596
155	2325	12581
156	2340	12565
157	2356	12556
158	2371	12541
159	2385	12524
160	2400	12509
161	2415	12492
162	2430	12482
163	2445	12468
164	2460	12453
165	2476	12440
166	2492	12430
167	2507	12417
168	2522	12401
169	2537	12387
170	2552	12375
171	2568	12362
172	2582	12343
173	2596	12324
174	2610	12306
175	2620	12270
176	2631	12235
177	2641	12198
178	2653	12172
179	2664	12137
180	2675	12104
181	2691	12095
182	2705	12077
183	2719	12062
184	2733	12041
185	2748	12028
186	2760	12001
187	2777	11995
188	2790	11975
189	2801	11942
190	2815	11925
191	2830	11911
192	2845	11897
193	2859	11880
194	2874	11866
195	2890	11855
196	2904	11837
197	2918	11823
198	2932	11804
199	2947	11791
200	2962	11776
201	2975	11755
202	2990	11742
203	3004	11721
204	3018	11707
205	3031	11685
206	3046	11672
207	3062	11662
208	3078	11650
209	3092	11634
210	3107	11621
211	3122	11605
212	3135	11584
213	3150	11570
214	3165	11558
215	3180	11544
216	3195	11530
217	3210	11517
218	3225	11501
219	3241	11491
220	3254	11473
221	3270	11462
222	3285	11447
223	3300	11434
224	3316	11422
225	3331	11409
226	3346	11396
227	3362	11383
228	3376	11369
229	3391	11355
230	3406	11341
231	3421	11327
232	3437	11315
233	3452	11301
234	3467	11288
235	3482	11273
236	3497	11259
237	3511	11241
238	3527	11231
239	3541	11214
240	3559	11209
241	3575	11200
242	3596	11205
243	3613	11196
244	3630	11187
245	3645	11175
246	3671	11192
247	3688	11184
248	3705	11175
249	3722	11166
250	3737	11154
251	3755	11147
252	3772	11137
253	3787	11124
254	3803	11112
255	3819	11100
256	3835	11088
257	3849	11072
258	3867	11065
259	3884	11056
260	3901	11045
261	3917	11036
262	3933	11021
263	3947	11006
264	3963	10991
265	3976	10973
266	3992	10960
267	4007	10945
268	4021	10927
269	4036	10914
270	4052	10900
271	4068	10889
272	4085	10878
273	4101	10866
274	4116	10853
275	4132	10839
276	4146	10823
277	4162	10809
278	4176	10793
279	4192	10780
280	4207	10766
281	4221	10749
282	4236	10732
283	4251	10717
284	4266	10703
285	4280	10686
286	4295	10671
287	4309	10654
288	4324	10640
289	4341	10628
290	4355	10611
291	4369	10594
292	4385	10581
293	4400	10566
294	4415	10552
295	4430	10536
296	4445	10521
297	4461	10509
298	4478	10498
299	4494	10486
